Clt,Joueur,Pos,Naissance,Équipe
201,Samuel Gigot,DF,1993,Marseille
202,Andrei Girotto,DFMT,1992,Nantes
203,Aleksandr Golovin,MTAT,1996,Monaco
204,André Gomes,MT,1993,Lille
205,Angel Gomes,MT,2000,Lille
206,Maxime Gonalons,MT,1989,Clermont Foot
207,Oumar Gonzalez,DF,1998,Ajaccio
208,Amine Gouiri,AT,2000,Rennes
209,Amine Gouiri,MTAT,2000,Nice
210,Jonathan Gradit,DF,1992,Lens
211,Andrew Gravillon,DF,1998,Reims
212,Adrian Grbić,MTAT,1996,Lorient
213,Gabriel Gudmundsson,MTDF,1999,Lille
214,Axel Gueguin,MT,2005,Montpellier
215,Mattéo Guendouzi,MT,1999,Marseille
216,Evann Guessand,ATMT,2001,Nantes
217,Pape Gueye,MTDF,1999,Marseille
218,Sehrou Guirassy,MT,1996,Rennes
219,Malo Gusto,DF,2003,Lyon
220,Massadio Haïdara,DFMT,1992,Lens
221,Achraf Hakimi,DFMT,1998,Paris S-G
222,Romain Hamouma,AT,1987,Ajaccio
223,Amine Harit,MT,1997,Marseille
224,Rhys Healey,AT,1994,Toulouse
225,Gauthier Hein,MT,1996,Auxerre
226,Henrique,DF,1994,Lyon
227,Christophe Hérelle,DF,1992,Brest
228,Noah Holm,MTAT,2001,Reims
229,Franck Honorat,MTAT,1996,Brest
230,Cédric Hountondji,DF,1994,Angers
231,Adrien Hunou,MTAT,1994,Angers
232,Mounaim El Idrissy,AT,1999,Ajaccio
233,Rareş Ilie,MT,2003,Nice
234,Bonke Innocent,MT,1996,Lorient
235,Ismaily,DF,1990,Lille
236,Junya Ito,ATMT,1993,Reims
237,Ismail Jakobs,DFMT,1999,Monaco
238,Marin Jakoliš,MT,1996,Angers
239,Luis Javier Suárez,AT,1997,Marseille
240,Dany Jean,DF,2002,Strasbourg
241,Julian Jeanvier,DF,1992,Auxerre
242,Paul Joly,DF,2000,Auxerre
243,Jubal,DF,1993,Auxerre
244,Christopher Jullien,DF,1993,Montpellier
245,Issa Kaboré,DF,2001,Marseille
246,Abdoul Kader Bamba,MT,1994,Nantes
247,Gaël Kakuta,AT,1991,Lens
248,Arnaud Kalimuendo,ATMT,2002,Rennes
249,Gedeon Kalulu,DF,1997,Lorient
250,Bingourou Kamara,GB,1996,Montpellier
251,Nordine Kandil,MTAT,2001,Strasbourg
252,Kévin Keben Biakolo,DF,2004,Toulouse
253,Check Keita,DF,2003,Reims
254,Saîf-Eddine Khaoui,MT,1995,Clermont Foot
255,Wahbi Khazri,MTAT,1991,Montpellier
256,Presnel Kimpembe,DF,1995,Paris S-G
257,Sead Kolašinac,DF,1993,Marseille
258,Ibrahima Koné,AT,1999,Lorient
259,Youssouf Koné,DF,1995,Ajaccio
260,Rominigue Kouamé,MT,1996,Troyes
261,Sael Kumbedi,DF,2005,Lyon
262,Grejohn Kyei,AT,1995,Clermont Foot
263,Gaëtan Laborde,AT,1994,Rennes
264,Gaëtan Laborde,ATMT,1994,Nice
265,Alexandre Lacazette,AT,1991,Lyon
266,Qazim Laçi,MT,1996,Ajaccio
267,Alban Lafont,GB,1999,Nantes
268,Mohamed Lamine Bayo,ATMT,1998,Lille
269,Julien Laporte,DF,1993,Lorient
270,Yasser Larouci,DF,2001,Troyes
271,Armand Lauriente,MTAT,1998,Lorient
272,Théo Le Bris,DFMT,2002,Lorient
273,Jérémy Le Douaron,ATMT,1998,Brest
274,Enzo Le Fée,MT,2000,Lorient
275,Vincent Le Goff,DF,1989,Lorient
276,Maxime Le Marchand,DF,1989,Strasbourg
277,Pierre Lees-Melou,MT,1993,Brest
278,Mario Lemina,MTDF,1993,Nice
279,Johann Lepenant,MT,2002,Lyon
280,Benjamin Leroy,GB,1989,Ajaccio
281,Léo Leroy,MT,2000,Montpellier
282,Dimitri Liénard,DF,1988,Strasbourg
283,Mateusz Lis,GB,1997,Troyes
284,Banzouzi Locko,DF,2002,Reims
285,Anthony Lopes,GB,1990,Lyon
286,Rony Lopes,MTAT,1995,Troyes
287,Pau López,GB,1994,Marseille
288,Dion Lopy,MT,2002,Reims
289,Jordan Lotomba,DFMT,1998,Nice
290,Jean Lucas,MT,1998,Monaco
291,Castello Lukeba,DF,2002,Lyon
292,Youssouf M'Changama,MT,1990,Auxerre
293,Deiver Machado,DFMT,1993,Lens
294,Soungoutou Magassa,MT,2003,Monaco
295,Hugo Magnetti,MT,1998,Brest
296,Yohann Magnin,MTDF,1997,Clermont Foot
297,Lovro Majer,MTAT,1998,Rennes
298,Béni Makouana,MT,2002,Montpellier
299,Hianga Mananga Mbock,MT,1999,Brest
300,Steve Mandanda,GB,1985,Rennes
301,Thomas Mangani,MT,1987,Ajaccio
302,Faitout Maouassa,MT,1998,Montpellier
303,Vincent Marchetti,MT,1997,Ajaccio
304,Guillermo Maripán,DF,1994,Monaco
305,Marquinhos,DF,1994,Paris S-G
306,Jonas Martin,MT,1990,Lille
307,Gelson Martins,MT,1995,Monaco
308,Yanis Massolin,MT,2002,Clermont Foot
309,Eliot Matazo,MTAT,2002,Monaco
310,Chrislain Matsima,DFMT,2002,Lorient
311,Azor Matusiwa,MT,1998,Reims
312,Stephy Mavididi,MT,1998,Montpellier
313,Fernand Mayembo,DF,1996,Ajaccio
314,Kylian Mbappé,AT,1998,Paris S-G
315,Chancel Mbemba,DF,1994,Marseille
316,Nathanael Mbuku,MTAT,2002,Reims
317,Facundo Medina,DF,1999,Lens
318,Farid El Melali,AT,1997,Angers
319,Birger Meling,DFAT,1994,Rennes
320,Nuno Mendes,DFMT,2002,Paris S-G
321,Thiago Mendes,DFMT,1992,Lyon
322,Antoine Mendy,DF,2004,Nice
323,Arial Mendy,DF,1994,Clermont Foot
324,Batista Mendy,MTDF,2000,Angers
325,Gideon Mensah,DF,1998,Auxerre
326,Quentin Merlin,DFMT,2002,Nantes
327,Lionel Messi,MTAT,1987,Paris S-G
328,Arkadiusz Milik,AT,1994,Marseille
329,Takumi Minamino,MTAT,1995,Monaco
330,Terem Moffi,AT,1999,Lorient
331,Mostafa Mohamed,AT,1997,Nantes
332,Marlos Moreno,DF,1996,Troyes
333,Lebo Mothiba,ATMT,1996,Strasbourg
334,Steve Mounié,AT,1994,Brest
335,Bevic Moussiti-Oko,AT,1995,Ajaccio
336,Samuel Moutoussamy,MT,1996,Nantes
337,Nordi Mukiele,DF,1997,Paris S-G
338,Marshall Munetsi,MT,1996,Reims
339,Yvon Mvogo,GB,1994,Lorient
340,Nathan N'Goumou,MT,2000,Toulouse
341,Papa Ndiaga Yade,DFMT,2000,Troyes
342,Neymar,MTAT,1992,Paris S-G
343,M'Baye Niang,AT,1994,Auxerre
344,Rasmus Nicolaisen,DF,1997,Toulouse
345,Arnaud Nordin,MT,1998,Montpellier
346,Riad Nouri,MT,1985,Ajaccio
347,Alexander Nübel,GB,1996,Monaco
348,Gerzino Nyamsi,DF,1997,Strasbourg
349,Wilson Odobert,MT,2004,Troyes
350,Florent Ogier,DF,1989,Clermont Foot
351,Jonas Omlin,GB,1994,Montpellier
352,Ado Onaiwu,ATMT,1995,Toulouse
353,Jean Onana,MT,2000,Lens
354,Loïs Openda,AT,2000,Lens
355,Dango Ouattara,MTAT,2002,Lorient
356,Azzedine Ounahi,MT,2000,Angers
357,Adam Ounas,MTAT,1996,Lille
358,Nicolas Pallois,DF,1987,Nantes
359,Erik Palmer-Brown,DF,1997,Troyes
360,Lucas Paquetá,MT,1997,Lyon
361,Leandro Paredes,MT,1994,Paris S-G
362,Dimitri Payet,MT,1987,Marseille
363,Patrick Pentz,GB,1997,Reims
364,Nicolas Pépé,MTAT,1995,Nice
365,Brayann Pereira,DF,2003,Auxerre
366,Danilo Pereira,DFMT,1991,Paris S-G
367,Mathias Pereira Lage,MTAT,1996,Brest
368,Gaëtan Perrin,MT,1996,Auxerre
369,Lucas Perrin,DF,1998,Strasbourg
370,Ronaël Pierre-Gabriel,DF,1998,Strasbourg
371,Julien Ponceau,MT,2000,Lorient
372,Łukasz Poręba,MT,2000,Lens
373,Jackson Porozo,DF,2000,Troyes
374,Sanjin Prcić,MT,1993,Strasbourg
375,Ghjuvanni Quilichini,GB,2002,Ajaccio
376,Adil Rami,DF,1985,Troyes
377,Sergio Ramos,DF,1986,Paris S-G
378,Aaron Ramsey,MT,1990,Nice
379,Elba Rashani,MTDF,1993,Clermont Foot
380,Rafael Ratão,MTAT,1995,Toulouse
381,Rayan Raveloson,MT,1997,Auxerre
382,Jeff Reine-Adélaïde,MT,1998,Lyon
383,Alexsandro Ribeiro,DF,1999,Lille
384,Rémy Riou,GB,1987,Lyon
385,Renaud Ripart,MTAT,1993,Troyes
386,Joe Rodon,DF,1997,Rennes
387,Valentin Rongier,MT,1994,Marseille
388,Pablo Rosario,MTDF,1997,Nice
389,Anthony Rouault,DF,2001,Toulouse
