,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,,-additional
Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
50,Haris Belkebla,dz ALG,MT,Brest,28-271,1994,12,11,971,10.8,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.3,0.7,0.03,0.03,0.06,0.03,0.06,Matchs,2b1bed19
51,Jean-Ricner Bellegarde,fr FRA,MTDF,Strasbourg,24-121,1998,12,12,1027,11.4,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.5,0.5,1.5,2.1,0.05,0.13,0.18,0.05,0.18,Matchs,10f0fdd3
52,Wissam Ben Yedder,fr FRA,AT,Monaco,32-075,1990,10,9,630,7.0,5,2,4,1,1,1,0,0.71,0.29,1.00,0.57,0.86,4.0,3.2,0.9,4.1,0.57,0.12,0.70,0.46,0.58,Matchs,942b4f90
53,Nabil Bentaleb,dz ALG,MT,Angers,27-336,1994,9,9,810,9.0,2,0,2,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.4,0.4,0.3,0.7,0.04,0.03,0.07,0.04,0.07,Matchs,3189f61a
54,Patrick Berg,no NOR,MTAT,Lens,24-336,1997,3,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.17,0.17,0.00,0.17,Matchs,e4114f5d
55,Mitchell van Bergen,nl NED,DFAT,Reims,23-060,1999,9,3,364,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.6,1.8,0.30,0.15,0.44,0.30,0.44,Matchs,0b2c9aec
56,Quentin Bernard,fr FRA,DF,Auxerre,33-111,1989,7,7,630,7.0,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.0,0.0,0.5,0.5,0.00,0.08,0.08,0.00,0.08,Matchs,3916b09c
57,Paul Bernardoni,fr FRA,GB,Angers,25-191,1997,7,7,630,7.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,28dabd43
58,Juan Bernat,es ESP,DFMT,Paris S-G,29-239,1993,9,6,499,5.5,1,0,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.7,0.7,0.5,1.2,0.13,0.09,0.22,0.13,0.22,Matchs,433dc9a2
59,Jason Berthomier,fr FRA,MT,Clermont Foot,32-293,1990,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,03e91055
60,El Bilal Touré,ml MLI,AT,Reims,21-023,2001,3,1,91,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.03,0.05,0.09,0.03,0.09,Matchs,47c609d5
61,Jean-Claude Billong,cm CMR,MT,Clermont Foot,28-302,1993,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,a3e1d20d
