,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,,-additional
Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
206,Maxime Gonalons,fr FRA,MT,Clermont Foot,33-230,1989,8,8,524,5.8,1,0,1,0,0,3,0,0.17,0.00,0.17,0.17,0.17,0.4,0.4,0.0,0.4,0.07,0.00,0.07,0.07,0.07,Matchs,b8c1de25
207,Oumar Gonzalez,cm CMR,DF,Ajaccio,24-243,1998,10,10,856,9.5,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.03,0.02,0.03,Matchs,a9d4c241
208,Amine Gouiri,fr FRA,AT,Rennes,22-252,2000,7,7,522,5.8,5,1,5,0,0,1,0,0.86,0.17,1.03,0.86,1.03,4.5,4.5,1.5,5.9,0.77,0.25,1.02,0.77,1.02,Matchs,aad56ca3
209,Amine Gouiri,fr FRA,MTAT,Nice,22-252,2000,3,3,226,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.8,0.23,0.10,0.33,0.23,0.33,Matchs,aad56ca3
210,Jonathan Gradit,fr FRA,DF,Lens,29-336,1992,7,7,539,6.0,0,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matchs,06c48679
211,Andrew Gravillon,gp GLP,DF,Reims,24-260,1998,11,11,973,10.8,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,1.1,0.08,0.02,0.10,0.08,0.10,Matchs,49136c42
212,Adrian Grbić,at AUT,MTAT,Lorient,26-083,1996,2,0,25,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.55,0.00,0.55,0.55,0.55,Matchs,4a987ffa
213,Gabriel Gudmundsson,se SWE,MTDF,Lille,23-180,1999,5,1,109,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.17,0.17,0.00,0.17,Matchs,d5d22a58
214,Axel Gueguin,fr FRA,MT,Montpellier,17-216,2005,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,f6857b4f
215,Mattéo Guendouzi,fr FRA,MT,Marseille,23-195,1999,11,10,859,9.5,1,2,1,0,0,2,0,0.10,0.21,0.31,0.10,0.31,1.0,1.0,1.0,2.0,0.11,0.10,0.21,0.11,0.21,Matchs,5ea8ef20
216,Evann Guessand,fr FRA,ATMT,Nantes,21-117,2001,11,7,547,6.1,1,2,1,0,0,1,0,0.16,0.33,0.49,0.16,0.49,1.3,1.3,0.6,1.9,0.21,0.10,0.31,0.21,0.31,Matchs,b73f17f8
217,Pape Gueye,sn SEN,MTDF,Marseille,23-275,1999,8,3,333,3.7,1,0,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,0.6,0.6,0.3,1.0,0.17,0.09,0.26,0.17,0.26,Matchs,7155e3e1
218,Sehrou Guirassy,gn GUI,MT,Rennes,26-228,1996,1,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.3,0.44,0.57,1.00,0.44,1.00,Matchs,923f4dda
219,Malo Gusto,fr FRA,DF,Lyon,19-160,2003,11,11,944,10.5,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.9,2.1,0.02,0.18,0.20,0.02,0.20,Matchs,d56b9520
220,Massadio Haïdara,ml MLI,DFMT,Lens,29-328,1992,12,7,618,6.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matchs,5167c97e
221,Achraf Hakimi,ma MAR,DFMT,Paris S-G,23-356,1998,12,10,896,10.0,2,1,2,0,0,2,0,0.20,0.10,0.30,0.20,0.30,1.6,1.6,1.7,3.2,0.16,0.17,0.33,0.16,0.33,Matchs,e42d61c7
222,Romain Hamouma,fr FRA,AT,Ajaccio,35-211,1987,7,6,424,4.7,1,0,1,0,0,5,2,0.21,0.00,0.21,0.21,0.21,0.6,0.6,0.7,1.3,0.13,0.14,0.28,0.13,0.28,Matchs,0b4d8274
223,Amine Harit,ma MAR,MT,Marseille,25-130,1997,7,4,352,3.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.2,1.6,0.09,0.32,0.40,0.09,0.40,Matchs,e7d59f4f
224,Rhys Healey,wls WAL,AT,Toulouse,27-324,1994,3,0,60,0.7,1,0,1,0,0,0,0,1.50,0.00,1.50,1.50,1.50,0.3,0.3,0.2,0.6,0.46,0.36,0.82,0.46,0.82,Matchs,07ace8c3
225,Gauthier Hein,fr FRA,MT,Auxerre,26-080,1996,11,7,546,6.1,1,0,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,1.5,1.5,0.7,2.2,0.25,0.12,0.37,0.25,0.37,Matchs,563fcd6b
226,Henrique,br BRA,DF,Lyon,28-184,1994,3,1,130,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matchs,f28474a4
227,Christophe Hérelle,mq MTQ,DF,Brest,30-065,1992,4,4,314,3.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,3681cfff
228,Noah Holm,no NOR,MTAT,Reims,21-156,2001,3,0,37,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.08,0.08,0.00,0.08,Matchs,61b77d0a
229,Franck Honorat,fr FRA,MTAT,Brest,26-076,1996,12,10,907,10.1,2,1,2,0,0,1,0,0.20,0.10,0.30,0.20,0.30,1.6,1.6,2.2,3.8,0.16,0.22,0.38,0.16,0.38,Matchs,db7849ca
230,Cédric Hountondji,bj BEN,DF,Angers,28-280,1994,12,12,1067,11.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.03,0.02,0.04,0.03,0.04,Matchs,00891164
231,Adrien Hunou,fr FRA,MTAT,Angers,28-280,1994,11,11,852,9.5,3,1,3,0,0,0,0,0.32,0.11,0.42,0.32,0.42,2.6,2.6,1.4,4.0,0.28,0.15,0.42,0.28,0.42,Matchs,d14229f3
232,Mounaim El Idrissy,fr FRA,AT,Ajaccio,23-258,1999,11,9,817,9.1,2,0,2,0,0,4,0,0.22,0.00,0.22,0.22,0.22,1.8,1.8,0.2,2.0,0.20,0.02,0.22,0.20,0.22,Matchs,fb0ee44e
233,Rareş Ilie,ro ROU,MT,Nice,19-190,2003,4,2,148,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.18,0.14,0.32,0.18,0.32,Matchs,c9f49454
234,Bonke Innocent,ng NGA,MT,Lorient,26-279,1996,10,4,355,3.9,0,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,0.1,0.1,0.1,0.2,0.03,0.03,0.05,0.03,0.05,Matchs,546bb36e
235,Ismaily,br BRA,DF,Lille,32-288,1990,11,10,920,10.2,2,1,2,0,0,0,0,0.20,0.10,0.29,0.20,0.29,1.1,1.1,1.6,2.6,0.10,0.15,0.26,0.10,0.26,Matchs,cf182add
236,Junya Ito,jp JPN,ATMT,Reims,29-231,1993,9,8,642,7.1,4,1,4,0,0,0,1,0.56,0.14,0.70,0.56,0.70,2.2,2.2,2.0,4.1,0.30,0.28,0.58,0.30,0.58,Matchs,dbd3a428
237,Ismail Jakobs,sn SEN,DFMT,Monaco,23-070,1999,9,2,283,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.04,0.09,0.13,0.04,0.13,Matchs,a0415710
238,Marin Jakoliš,hr CRO,MT,Angers,25-304,1996,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.39,0.00,0.39,0.39,0.39,Matchs,96f4ebc0
239,Luis Javier Suárez,co COL,AT,Marseille,24-328,1997,7,2,293,3.3,3,1,3,0,0,1,0,0.92,0.31,1.23,0.92,1.23,2.4,2.4,0.4,2.8,0.74,0.11,0.85,0.74,0.85,Matchs,eeba07f8
240,Dany Jean,ht HAI,DF,Strasbourg,19-332,2002,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,300ec91c
241,Julian Jeanvier,gn GUI,DF,Auxerre,30-209,1992,6,6,455,5.1,1,0,1,0,0,3,1,0.20,0.00,0.20,0.20,0.20,0.3,0.3,0.0,0.3,0.06,0.00,0.06,0.06,0.06,Matchs,5cb215fc
242,Paul Joly,fr FRA,DF,Auxerre,22-141,2000,9,9,810,9.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.04,0.05,0.01,0.05,Matchs,5b4bc323
243,Jubal,br BRA,DF,Auxerre,29-058,1993,12,12,1080,12.0,1,1,1,0,0,1,0,0.08,0.08,0.17,0.08,0.17,0.6,0.6,0.4,1.0,0.05,0.03,0.08,0.05,0.08,Matchs,56ae428b
244,Christopher Jullien,fr FRA,DF,Montpellier,29-218,1993,7,7,630,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.9,0.10,0.03,0.13,0.10,0.13,Matchs,f323d995
245,Issa Kaboré,bf BFA,DF,Marseille,21-167,2001,6,3,276,3.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.07,0.08,0.15,0.07,0.15,Matchs,c066d1a5
246,Abdoul Kader Bamba,fr FRA,MT,Nantes,28-154,1994,3,1,75,0.8,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.11,0.04,0.15,0.11,0.15,Matchs,32f3d97e
247,Gaël Kakuta,cd COD,AT,Lens,31-127,1991,2,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.19,0.00,0.19,0.19,0.19,Matchs,5b1bf5e3
248,Arnaud Kalimuendo,fr FRA,ATMT,Rennes,20-279,2002,7,5,383,4.3,1,1,1,0,0,0,0,0.23,0.23,0.47,0.23,0.47,1.0,1.0,1.2,2.2,0.25,0.28,0.52,0.25,0.52,Matchs,bf4c41f9
249,Gedeon Kalulu,cd COD,DF,Lorient,25-058,1997,9,9,810,9.0,0,3,0,0,0,2,0,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.8,1.0,0.02,0.09,0.11,0.02,0.11,Matchs,dd211559
250,Bingourou Kamara,sn SEN,GB,Montpellier,26-005,1996,3,2,228,2.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,3814120d
251,Nordine Kandil,fr FRA,MTAT,Strasbourg,20-360,2001,3,0,39,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matchs,c5908bc4
252,Kévin Keben Biakolo,cm CMR,DF,Toulouse,18-273,2004,7,1,178,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.02,0.09,0.11,0.02,0.11,Matchs,c43a8336
253,Check Keita,fr FRA,DF,Reims,19-207,2003,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,c9f2f83a
254,Saîf-Eddine Khaoui,tn TUN,MT,Clermont Foot,27-182,1995,11,5,510,5.7,2,2,2,0,0,1,0,0.35,0.35,0.71,0.35,0.71,1.3,1.3,1.1,2.5,0.24,0.20,0.44,0.24,0.44,Matchs,796b1c41
255,Wahbi Khazri,tn TUN,MTAT,Montpellier,31-260,1991,9,6,547,6.1,2,1,2,0,0,1,0,0.33,0.16,0.49,0.33,0.49,1.3,1.3,0.2,1.6,0.22,0.04,0.26,0.22,0.26,Matchs,2677a1de
256,Presnel Kimpembe,fr FRA,DF,Paris S-G,27-074,1995,6,6,540,6.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.7,0.09,0.03,0.12,0.09,0.12,Matchs,aef6e670
257,Sead Kolašinac,ba BIH,DF,Marseille,29-128,1993,8,5,391,4.3,0,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.0,0.0,0.4,0.4,0.01,0.09,0.10,0.01,0.10,Matchs,3935e52e
258,Ibrahima Koné,ml MLI,AT,Lorient,23-132,1999,12,2,291,3.2,2,0,1,1,1,2,0,0.62,0.00,0.62,0.31,0.31,1.2,0.4,0.1,0.5,0.37,0.02,0.38,0.12,0.14,Matchs,04bb2b06
259,Youssouf Koné,ml MLI,DF,Ajaccio,27-113,1995,3,3,192,2.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.02,0.00,0.02,0.02,0.02,Matchs,e6eadfb8
260,Rominigue Kouamé,ml MLI,MT,Troyes,25-313,1996,11,11,976,10.8,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.7,0.7,1.4,2.1,0.06,0.13,0.19,0.06,0.19,Matchs,86a2ba20
261,Sael Kumbedi,fr FRA,DF,Lyon,17-214,2005,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,c385bf49
262,Grejohn Kyei,fr FRA,AT,Clermont Foot,27-075,1995,11,4,437,4.9,2,1,2,0,0,1,0,0.41,0.21,0.62,0.41,0.62,1.0,1.0,0.3,1.3,0.20,0.06,0.26,0.20,0.26,Matchs,397ba086
263,Gaëtan Laborde,fr FRA,AT,Rennes,28-176,1994,4,3,249,2.8,2,0,2,0,0,0,0,0.72,0.00,0.72,0.72,0.72,1.7,1.7,0.2,1.9,0.62,0.07,0.69,0.62,0.69,Matchs,7cdda3bf
264,Gaëtan Laborde,fr FRA,ATMT,Nice,28-176,1994,7,6,509,5.7,1,0,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,0.9,0.9,0.9,1.8,0.16,0.16,0.32,0.16,0.32,Matchs,7cdda3bf
265,Alexandre Lacazette,fr FRA,AT,Lyon,31-151,1991,12,12,1031,11.5,7,3,6,1,1,2,0,0.61,0.26,0.87,0.52,0.79,6.1,5.3,2.9,8.2,0.53,0.25,0.79,0.46,0.72,Matchs,9dbb75ca
266,Qazim Laçi,al ALB,MT,Ajaccio,26-280,1996,7,2,209,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.07,0.09,0.15,0.07,0.15,Matchs,eb0db257
267,Alban Lafont,fr FRA,GB,Nantes,23-276,1999,12,12,1079,12.0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,4e7db402
268,Mohamed Lamine Bayo,gn GUI,ATMT,Lille,24-144,1998,7,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.1,2.1,0.45,0.47,0.92,0.45,0.92,Matchs,01870104
269,Julien Laporte,fr FRA,DF,Lorient,28-356,1993,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.3,0.02,0.00,0.02,0.02,0.02,Matchs,f066022d
270,Yasser Larouci,dz ALG,DF,Troyes,21-298,2001,10,8,638,7.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.6,0.02,0.06,0.08,0.02,0.08,Matchs,0ed063d6
271,Armand Lauriente,fr FRA,MTAT,Lorient,23-326,1998,3,3,266,3.0,1,0,1,0,0,0,0,0.34,0.00,0.34,0.34,0.34,1.8,1.8,1.1,2.9,0.60,0.38,0.98,0.60,0.98,Matchs,2d22cea7
272,Théo Le Bris,fr FRA,DFMT,Lorient,20-025,2002,11,6,583,6.5,1,0,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,0.6,0.6,0.1,0.7,0.10,0.02,0.11,0.10,0.11,Matchs,afe39ca8
273,Jérémy Le Douaron,fr FRA,ATMT,Brest,24-188,1998,8,5,426,4.7,3,0,3,0,0,0,0,0.63,0.00,0.63,0.63,0.63,3.4,3.4,0.0,3.4,0.71,0.01,0.72,0.71,0.72,Matchs,88c4d190
274,Enzo Le Fée,fr FRA,MT,Lorient,22-265,2000,12,12,1068,11.9,2,1,2,0,0,1,0,0.17,0.08,0.25,0.17,0.25,1.4,1.4,3.5,4.9,0.12,0.29,0.41,0.12,0.41,Matchs,6f806d99
275,Vincent Le Goff,fr FRA,DF,Lorient,33-011,1989,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.05,0.02,0.07,0.05,0.07,Matchs,2321ea6e
276,Maxime Le Marchand,fr FRA,DF,Strasbourg,33-015,1989,10,9,761,8.5,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.3,0.01,0.03,0.04,0.01,0.04,Matchs,321a71a7
277,Pierre Lees-Melou,fr FRA,MT,Brest,29-154,1993,10,10,787,8.7,2,0,2,0,0,3,1,0.23,0.00,0.23,0.23,0.23,0.6,0.6,0.3,0.9,0.07,0.04,0.10,0.07,0.10,Matchs,f5044e54
278,Mario Lemina,ga GAB,MTDF,Nice,29-055,1993,8,7,573,6.4,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matchs,2b471f99
279,Johann Lepenant,fr FRA,MT,Lyon,20-004,2002,9,8,686,7.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.03,0.06,0.03,0.06,Matchs,1e52971c
280,Benjamin Leroy,fr FRA,GB,Ajaccio,33-202,1989,11,11,908,10.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,1e7aea56
281,Léo Leroy,fr FRA,MT,Montpellier,22-254,2000,7,1,149,1.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.18,0.16,0.34,0.18,0.34,Matchs,fcc84a07
282,Dimitri Liénard,fr FRA,DF,Strasbourg,34-255,1988,10,8,611,6.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.7,1.0,0.03,0.11,0.14,0.03,0.14,Matchs,f7691f63
283,Mateusz Lis,pl POL,GB,Troyes,25-241,1997,2,2,180,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,fd78b105
284,Banzouzi Locko,fr FRA,DF,Reims,20-173,2002,12,12,958,10.6,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.6,0.01,0.04,0.05,0.01,0.05,Matchs,40221fa7
285,Anthony Lopes,pt POR,GB,Lyon,32-025,1990,9,9,746,8.3,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,f00de885
286,Rony Lopes,pt POR,MTAT,Troyes,26-302,1995,8,6,405,4.5,1,3,1,0,0,0,0,0.22,0.67,0.89,0.22,0.89,1.1,1.1,1.0,2.1,0.24,0.22,0.46,0.24,0.46,Matchs,7c2965bb
287,Pau López,es ESP,GB,Marseille,27-317,1994,9,9,810,9.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,20b9f052
288,Dion Lopy,sn SEN,MT,Reims,20-266,2002,9,7,541,6.0,0,0,0,0,0,4,2,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.5,0.7,0.03,0.09,0.12,0.03,0.12,Matchs,64c14d49
289,Jordan Lotomba,ch SUI,DFMT,Nice,24-027,1998,11,8,727,8.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.5,0.9,0.05,0.06,0.11,0.05,0.11,Matchs,fc4cf6a7
290,Jean Lucas,br BRA,MT,Monaco,24-126,1998,6,3,291,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.19,0.05,0.23,0.19,0.23,Matchs,a99138af
291,Castello Lukeba,fr FRA,DF,Lyon,19-313,2002,11,11,990,11.0,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matchs,5b9512c5
292,Youssouf M'Changama,km COM,MT,Auxerre,32-058,1990,10,3,291,3.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.01,0.15,0.16,0.01,0.16,Matchs,e05082d1
293,Deiver Machado,co COL,DFMT,Lens,29-054,1993,10,9,747,8.3,1,1,1,0,0,2,1,0.12,0.12,0.24,0.12,0.24,0.3,0.3,0.8,1.1,0.04,0.09,0.13,0.04,0.13,Matchs,b3f8bdef
294,Soungoutou Magassa,ml MLI,MT,Monaco,19-018,2003,1,0,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,dfc5d4fa
295,Hugo Magnetti,fr FRA,MT,Brest,24-149,1998,11,5,517,5.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matchs,d4d35152
296,Yohann Magnin,fr FRA,MTDF,Clermont Foot,25-127,1997,12,7,707,7.9,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.06,0.04,0.11,0.06,0.11,Matchs,caa7aaea
297,Lovro Majer,hr CRO,MTAT,Rennes,24-282,1998,10,4,371,4.1,1,1,0,1,1,1,0,0.24,0.24,0.49,0.00,0.24,1.3,0.5,1.0,1.5,0.32,0.23,0.56,0.13,0.37,Matchs,fc46aab1
298,Béni Makouana,cg CGO,MT,Montpellier,20-028,2002,5,0,105,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.5,0.37,0.02,0.39,0.37,0.39,Matchs,654f49ca
299,Hianga Mananga Mbock,fr FRA,MT,Brest,22-302,1999,2,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,0f86995c
300,Steve Mandanda,fr FRA,GB,Rennes,37-212,1985,10,10,855,9.5,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matchs,1d2d5cc8
301,Thomas Mangani,fr FRA,MT,Ajaccio,35-180,1987,10,5,488,5.4,1,1,0,1,2,2,0,0.18,0.18,0.37,0.00,0.18,1.8,0.2,1.1,1.3,0.34,0.20,0.53,0.05,0.24,Matchs,c801616a
302,Faitout Maouassa,fr FRA,MT,Montpellier,24-112,1998,10,6,476,5.3,1,4,1,0,0,0,0,0.19,0.76,0.95,0.19,0.95,0.7,0.7,1.5,2.2,0.14,0.27,0.41,0.14,0.41,Matchs,e54a9890
303,Vincent Marchetti,fr FRA,MT,Ajaccio,25-114,1997,12,11,931,10.3,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,0.4,1.0,0.06,0.03,0.10,0.06,0.10,Matchs,740f00ac
304,Guillermo Maripán,cl CHI,DF,Monaco,28-173,1994,7,6,495,5.5,2,0,2,0,0,2,1,0.36,0.00,0.36,0.36,0.36,0.4,0.4,0.0,0.4,0.07,0.00,0.07,0.07,0.07,Matchs,d9764034
305,Marquinhos,br BRA,DF,Paris S-G,28-165,1994,12,11,982,10.9,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,1.4,1.4,0.2,1.6,0.13,0.02,0.15,0.13,0.15,Matchs,d5f2f82b
306,Jonas Martin,fr FRA,MT,Lille,32-200,1990,7,1,148,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matchs,468fdbad
307,Gelson Martins,pt POR,MT,Monaco,27-168,1995,4,1,111,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.30,0.10,0.40,0.30,0.40,Matchs,3ef0fa48
308,Yanis Massolin,fr FRA,MT,Clermont Foot,20-036,2002,1,0,17,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,6ea05ca7
309,Eliot Matazo,be BEL,MTAT,Monaco,20-253,2002,6,3,265,2.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,15944afd
310,Chrislain Matsima,fr FRA,DFMT,Lorient,20-164,2002,2,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,cf1ef7ec
311,Azor Matusiwa,nl NED,MT,Reims,24-181,1998,6,6,513,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.02,0.03,0.04,0.02,0.04,Matchs,a17a94d6
312,Stephy Mavididi,eng ENG,MT,Montpellier,24-148,1998,5,4,259,2.9,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.11,0.00,0.11,0.11,0.11,Matchs,30144daa
313,Fernand Mayembo,cg CGO,DF,Ajaccio,26-290,1996,3,3,262,2.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.17,0.00,0.17,0.17,0.17,Matchs,b20cc590
314,Kylian Mbappé,fr FRA,AT,Paris S-G,23-310,1998,11,10,878,9.8,10,2,10,0,1,2,0,1.03,0.21,1.23,1.03,1.23,7.8,7.0,4.1,11.1,0.80,0.42,1.22,0.72,1.14,Matchs,42fd9c7f
